City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ilulissat,69.2167,-51.1,7.01,76,0,2.06,GL,1690432388
1,bethel,41.3712,-73.414,24.72,81,0,4.12,US,1690432388
2,st. john's,47.5649,-52.7093,19.04,82,100,8.75,CA,1690432208
3,adamstown,-25.066,-130.1015,19.5,60,28,3.87,PN,1690432388
4,boguchany,58.3814,97.4531,26.91,45,57,2.75,RU,1690432389
5,iskateley,67.6803,53.1512,20.74,58,90,2.44,RU,1690432389
6,port-aux-francais,-49.35,70.2167,4.61,79,83,15.3,TF,1690432249
7,i-n-salah,27.1935,2.4607,35.39,14,0,2.95,DZ,1690432389
8,olonkinbyen,70.9221,-8.7187,4.68,89,100,4.39,SJ,1690432389
9,winslow,35.0242,-110.6974,27.1,29,0,4.12,US,1690432390
10,val-d'or,48.1002,-77.7828,18.05,100,100,2.06,CA,1690432390
11,badger,64.8,-147.5333,29.17,57,0,0.0,US,1690432298
12,hamilton,39.1834,-84.5333,28.43,75,75,6.17,US,1690432124
13,okha,53.5739,142.9478,16.32,86,100,2.73,RU,1690432390
14,qaqortoq,60.7167,-46.0333,6.83,81,94,3.65,GL,1690432157
15,namtsy,62.7161,129.6658,24.71,35,85,2.33,RU,1690432390
16,puerto ayora,-0.7393,-90.3518,24.75,93,86,2.24,EC,1690432358
17,arteche,12.2645,125.4048,31.5,62,98,2.98,PH,1690432391
18,grytviken,-54.2811,-36.5092,0.98,99,100,5.68,GS,1690432392
19,puerto natales,-51.7236,-72.4875,-2.18,94,100,1.22,CL,1690432361
20,iqaluit,63.7506,-68.5145,6.85,87,75,1.03,CA,1690432212
21,west island,-12.1568,96.8225,25.99,73,75,10.29,CC,1690432392
22,hithadhoo,-0.6,73.0833,28.38,78,29,6.85,MV,1690432392
23,ushuaia,-54.8,-68.3,-0.19,69,75,2.57,AR,1690432230
24,san antonio de pale,-1.4014,5.6325,22.81,90,100,5.04,GQ,1690432393
25,paide,58.8856,25.5572,13.67,84,99,2.12,EE,1690432393
26,vila velha,-20.3297,-40.2925,19.97,94,0,1.03,BR,1690432393
27,waitangi,-43.9535,-176.5597,7.12,54,91,7.32,NZ,1690432394
28,wailea,19.8858,-155.123,24.61,97,100,4.63,US,1690432394
29,izyum,49.2088,37.2485,25.08,51,3,3.99,UA,1690432394
30,kingston,17.997,-76.7936,28.47,85,75,9.26,JM,1690432277
31,albany,42.6001,-73.9662,23.25,83,100,0.89,US,1690432202
32,zapopan,20.7167,-103.4,16.86,96,100,0.7,MX,1690432395
33,wajir,1.7471,40.0573,22.98,78,0,3.6,KE,1690432395
34,howard springs,-12.497,131.047,28.23,29,100,1.1,AU,1690432395
35,anadyr,64.75,177.4833,12.28,87,75,6.0,RU,1690432395
36,punta arenas,-53.15,-70.9167,-1.0,82,21,3.73,CL,1690432334
37,luganville,-15.5333,167.1667,22.51,82,100,5.94,VU,1690432396
38,kaya,13.0917,-1.0844,28.19,61,100,4.51,BF,1690432396
39,college,64.8569,-147.8028,29.21,57,75,0.45,US,1690432396
40,weiser,44.251,-116.9693,28.11,26,0,3.75,US,1690432397
41,utrik,11.2278,169.8474,27.89,81,100,7.73,MH,1690432272
42,yuzhno-kurilsk,44.0306,145.8556,22.28,80,98,1.28,RU,1690432398
43,tarko-sale,64.9225,77.785,25.79,48,97,3.88,RU,1690432398
44,kapuskasing,49.4169,-82.4331,16.05,100,75,0.0,CA,1690432398
45,kandyagash,49.4744,57.4233,27.96,36,5,4.23,KZ,1690432399
46,bamboo flat,11.7,92.7167,30.05,79,40,6.69,IN,1690432399
47,viedma,-40.8135,-62.9967,4.27,74,99,2.54,AR,1690432198
48,port elizabeth,-33.918,25.5701,14.16,82,0,6.69,ZA,1690432399
49,grand falls-windsor,48.9332,-55.6649,16.1,96,14,2.73,CA,1690432399
50,nicoya,10.1483,-85.452,24.58,89,98,0.66,CR,1690432400
51,alice springs,-23.7,133.8833,22.75,53,100,7.72,AU,1690432400
52,dwarka,22.2394,68.9678,28.46,81,100,7.81,IN,1690432400
53,atafu village,-8.5421,-172.5159,28.69,75,96,8.15,TK,1690432401
54,new plymouth,-39.0667,174.0833,9.62,58,45,8.74,NZ,1690432392
55,bomadi,5.1593,5.9252,23.9,95,100,1.59,NG,1690432401
56,tromso,69.6496,18.957,12.43,87,20,6.17,NO,1690432401
57,guerrero negro,27.9769,-114.0611,21.02,80,2,4.76,MX,1690432401
58,georgetown,5.4112,100.3354,31.96,79,20,2.57,MY,1690432124
59,akureyri,65.6835,-18.0878,8.69,83,100,1.91,IS,1690432402
60,lihue,21.9789,-159.3672,28.58,74,0,6.17,US,1690432402
61,natal,-5.795,-35.2094,23.36,100,75,3.6,BR,1690432387
62,katsuura,35.1333,140.3,28.91,70,45,4.81,JP,1690432403
63,port mathurin,-19.6833,63.4167,23.56,80,32,7.62,MU,1690432264
64,major isidoro,-9.5322,-36.985,18.27,95,61,1.11,BR,1690432403
65,port alfred,-33.5906,26.891,15.42,86,55,8.75,ZA,1690432387
66,san-pedro,4.7485,-6.6363,23.6,94,92,2.16,CI,1690432404
67,zhangatas,43.5667,69.75,33.84,22,74,8.15,KZ,1690432404
68,bonthe,7.5264,-12.505,24.45,91,97,2.41,SL,1690432369
69,wailua homesteads,22.0669,-159.378,28.24,80,0,6.17,US,1690432404
70,altay,47.8667,88.1167,32.83,17,9,4.51,CN,1690432405
71,thunder bay,48.4001,-89.3168,17.99,94,20,2.06,CA,1690432405
72,laguna,38.421,-121.4238,27.95,52,0,4.63,US,1690432405
73,dudinka,69.4058,86.1778,27.57,50,75,2.82,RU,1690432405
74,oranjemund,-28.55,16.4333,11.09,71,0,2.46,NA,1690432406
75,lazaro cardenas,17.9583,-102.2,27.36,80,83,2.31,MX,1690432406
76,la'ie,21.6477,-157.9253,28.98,74,15,2.68,US,1690432372
77,puerto ayacucho,5.6639,-67.6236,24.5,89,100,1.63,VE,1690432406
78,jamestown,42.097,-79.2353,23.77,96,75,3.6,US,1690432235
79,tiksi,71.6872,128.8694,7.55,73,54,2.55,RU,1690432407
80,hawaiian paradise park,19.5933,-154.9731,24.94,97,100,4.63,US,1690432220
81,caleta de carquin,-11.0925,-77.6267,19.28,82,71,3.11,PE,1690432407
82,la ronge,55.1001,-105.2842,12.14,82,100,4.63,CA,1690432407
83,lebu,-37.6167,-73.65,8.59,86,94,0.76,CL,1690432353
84,belyy yar,53.6039,91.3903,21.94,64,0,2.0,RU,1690432408
85,peniche,39.3558,-9.3811,19.6,83,98,7.49,PT,1690432408
86,whitehorse,60.7161,-135.0538,17.79,79,100,2.06,CA,1690432408
87,edinburgh of the seven seas,-37.0676,-12.3116,10.71,55,71,9.37,SH,1690432409
88,talnakh,69.4865,88.3972,27.34,42,45,1.94,RU,1690432409
89,pacasmayo,-7.4006,-79.5714,20.71,84,26,5.26,PE,1690432409
90,bilibino,68.0546,166.4372,11.34,69,100,1.39,RU,1690432238
91,brisas de zicatela,15.8369,-97.0419,26.75,82,100,2.83,MX,1690432410
92,den burg,53.0542,4.7972,15.54,98,100,5.14,NL,1690432410
93,island harbour,50.724,-1.2758,17.74,96,100,3.13,GB,1690432410
94,tanjung pandan,-2.75,107.65,31.69,57,14,4.75,ID,1690432389
95,abepura,-2.6333,140.5833,29.45,70,40,2.57,ID,1690432411
96,touros,-5.1989,-35.4608,23.96,88,47,4.93,BR,1690432411
97,papatowai,-46.5619,169.4708,6.57,83,100,8.47,NZ,1690432411
98,bredasdorp,-34.5322,20.0403,8.51,90,0,2.06,ZA,1690432411
99,carahue,-38.7,-73.1667,6.08,95,98,1.01,CL,1690432412
100,stanley,54.868,-1.6985,13.62,92,75,1.54,GB,1690432412
101,constantia,44.1833,28.65,20.39,87,99,6.84,RO,1690432230
102,arawa,-6.2132,155.5367,29.82,74,75,2.2,PG,1690432413
103,polyarnyy,69.1989,33.4478,10.95,93,100,0.58,RU,1690432402
104,zhangye,38.9342,100.4517,33.67,13,51,2.15,CN,1690432414
105,bay roberts,47.5999,-53.2648,18.86,89,66,1.34,CA,1690432414
106,nova sintra,14.8667,-24.7167,22.96,85,77,6.94,CV,1690432414
107,keflavik,64.0049,-22.5624,9.24,87,0,4.12,IS,1690432319
108,uturoa,-16.7333,-151.4333,25.77,83,45,4.27,PF,1690432367
109,krutinka,56.0055,71.5113,22.34,50,14,3.74,RU,1690432415
110,toba,34.4833,136.85,32.0,67,73,4.59,JP,1690432415
111,argo,37.6333,22.7333,29.88,47,0,2.15,GR,1690432416
112,palangkaraya,-2.2,113.8333,33.13,42,78,1.95,ID,1690432416
113,tokar,18.4254,37.729,32.65,46,19,16.76,SD,1690432416
114,mejit,10.2753,170.8646,28.11,80,100,7.36,MH,1690432417
115,isafjordur,66.0755,-23.124,6.69,88,96,5.18,IS,1690432417
116,aasiaat,68.7098,-52.8699,2.76,95,28,4.37,GL,1690432418
117,naliya,23.2667,68.8333,29.91,73,100,7.31,IN,1690432418
118,daugavpils,55.8833,26.5333,13.36,87,100,2.41,LV,1690432418
119,ancud,-41.8697,-73.8203,8.07,95,100,3.02,CL,1690432418
120,bengkulu,-3.8004,102.2655,29.21,66,46,4.94,ID,1690432419
121,celestun,20.8667,-90.4,25.84,86,100,4.14,MX,1690432419
122,longyearbyen,78.2186,15.6401,10.91,76,40,1.54,SJ,1690432419
123,ribeira grande,38.5167,-28.7,22.65,96,62,3.13,PT,1690432364
124,namie,37.4833,141.0,37.62,60,8,0.89,JP,1690432419
125,margaret river,-33.95,115.0667,13.63,69,99,5.88,AU,1690432419
126,remire-montjoly,4.9167,-52.2667,25.02,94,100,0.0,GF,1690432420
127,ambovombe,-25.1667,46.0833,18.48,58,0,7.12,MG,1690432420
128,sinabang,2.4803,96.3801,29.58,69,83,1.85,ID,1690432420
129,hasaki,35.7333,140.8333,39.05,71,15,5.84,JP,1690432420
130,garissa,-0.4536,39.6401,23.97,72,55,8.5,KE,1690432420
131,blackmans bay,-43.0167,147.3167,12.63,71,100,2.27,AU,1690432237
132,tazacorte,28.629,-17.9293,21.54,85,75,4.12,ES,1690432421
133,borzya,50.3833,116.5167,25.4,41,3,5.27,RU,1690432168
134,lukolela,-1.0605,17.1821,22.42,74,100,1.78,CD,1690432421
135,enewetak,11.3474,162.3373,28.55,78,100,6.36,MH,1690432422
136,avarua,-21.2078,-159.775,22.03,78,75,1.03,CK,1690432422
137,okondja,-0.6549,13.6753,22.18,86,64,1.04,GA,1690432422
138,port lincoln,-34.7333,135.8667,17.63,65,97,7.69,AU,1690432422
139,warman,52.3168,-106.5679,15.95,72,75,3.09,CA,1690432422
140,pulgaon,20.7333,78.3333,31.13,66,99,4.72,IN,1690432422
141,avanigadda,16.0215,80.9181,26.9,82,100,7.89,IN,1690432422
142,carnarvon,-24.8667,113.6333,18.61,46,12,7.07,AU,1690432423
143,rikaze,29.25,88.8833,10.6,81,100,0.71,CN,1690432423
144,reggane,26.7158,0.1714,36.61,15,14,2.32,DZ,1690432423
145,shingu,33.7333,135.9833,31.17,61,90,2.66,JP,1690432423
146,suva,-18.1416,178.4415,19.71,94,100,2.57,FJ,1690432423
147,geraldton,-28.7667,114.6,17.23,63,75,3.6,AU,1690432424
148,masterton,-40.9597,175.6575,9.38,86,88,3.44,NZ,1690432424
149,yanykurgan,43.915,67.2481,37.16,18,97,4.98,KZ,1690432424
150,el sauzal de rodriguez,31.9,-116.6833,19.68,79,35,1.54,MX,1690432424
151,wick,58.4333,-3.0833,12.03,87,100,6.69,GB,1690432424
152,nogliki,51.8333,143.1667,18.89,91,100,2.66,RU,1690432424
153,palmer,42.1584,-72.3287,23.65,76,0,3.6,US,1690432348
154,aksaray,38.3726,34.0254,27.59,15,0,0.63,TR,1690432208
155,pariaman,-0.619,100.12,31.03,66,81,2.31,ID,1690432425
156,el dorado,38.7666,-120.5177,23.29,49,0,3.07,US,1690432425
157,vorgashor,67.5833,63.95,15.74,83,98,2.32,RU,1690432425
158,palikir - national government center,6.9248,158.1611,31.41,62,75,2.06,FM,1690432134
159,colonia,50.9333,6.95,15.72,85,75,3.6,DE,1690432316
160,minas de marcona,-15.2119,-75.1103,12.03,88,43,4.7,PE,1690432425
161,thompson,55.7435,-97.8558,12.09,100,100,1.03,CA,1690432426
162,rio grande,-32.035,-52.0986,11.08,90,1,6.34,BR,1690432307
163,pisco,-13.7,-76.2167,15.03,82,0,2.06,PE,1690432426
164,hermanus,-34.4187,19.2345,11.47,84,1,3.31,ZA,1690432287
165,saipan,15.1355,145.701,28.39,100,40,5.14,MP,1690432426
166,porbandar,21.6422,69.6093,28.99,84,40,5.14,IN,1690432426
167,kindu,-2.95,25.95,20.48,76,48,0.57,CD,1690432426
168,new amsterdam,6.25,-57.5167,23.53,98,5,0.81,GY,1690432426
169,taltal,-25.4,-70.4833,15.22,83,50,1.42,CL,1690432427
170,bani walid,31.7566,13.9942,23.3,78,0,3.46,LY,1690432427
171,yellowknife,62.456,-114.3525,22.29,37,40,3.6,CA,1690432272
172,ndofane,13.9167,-15.9333,26.69,85,49,3.13,SN,1690432427
173,hilo,19.7297,-155.09,24.58,96,100,4.63,US,1690432427
174,sao joao da barra,-21.6403,-41.0511,21.5,87,94,5.8,BR,1690432428
175,sunrise manor,36.2111,-115.0731,40.55,15,20,8.05,US,1690432428
176,tambacounda,13.7539,-13.7586,26.24,86,65,3.05,SN,1690432428
177,horta,38.5333,-28.6333,22.23,96,69,3.13,PT,1690432428
178,antofagasta,-23.65,-70.4,17.6,87,62,1.16,CL,1690432343
179,kavalerovo,44.2661,135.0572,33.78,35,33,3.06,RU,1690432428
180,mpumalanga,-26.0,30.0,4.89,87,0,1.22,ZA,1690432428
181,kununurra,-15.7667,128.7333,27.99,28,7,3.09,AU,1690432368
182,mount isa,-20.7333,139.5,25.87,50,75,5.66,AU,1690432241
183,namibe,-15.1961,12.1522,14.92,90,70,2.35,AO,1690432429
184,broken hill,-31.95,141.4333,20.36,31,31,7.88,AU,1690432202
185,miquelon,47.0975,-56.3814,17.0,93,2,4.33,PM,1690432429
186,prince albert,53.2001,-105.7677,14.97,100,75,3.09,CA,1690432430
187,kodiak,57.79,-152.4072,13.73,82,100,4.12,US,1690432359
188,nuuk,64.1835,-51.7216,7.34,87,100,1.54,GL,1690432248
189,ulladulla,-35.35,150.4667,21.21,31,0,3.28,AU,1690432430
190,meulaboh,4.1363,96.1285,29.76,66,86,1.79,ID,1690432430
191,tinghir,31.5157,-5.5343,28.33,13,0,2.3,MA,1690432430
192,birjand,32.8663,59.2211,29.26,24,0,5.14,IR,1690432430
193,ciudad general teran,25.2667,-99.6833,27.19,59,0,6.87,MX,1690432431
194,ola,59.5833,151.2833,16.75,98,100,2.72,RU,1690432431
195,piti village,13.4626,144.6933,29.49,79,0,6.17,GU,1690432431
196,yuksekova,37.5736,44.2872,16.86,67,20,0.0,TR,1690432431
197,chonchi,-42.6128,-73.8092,7.84,99,100,1.64,CL,1690432361
198,daru,-9.0763,143.2092,25.96,81,57,8.59,PG,1690432431
199,santo antonio,-6.3106,-35.4789,22.05,90,33,4.41,BR,1690432431
200,port shepstone,-30.7414,30.455,19.27,80,12,11.15,ZA,1690432432
201,serik,36.9169,31.0989,29.14,27,0,0.26,TR,1690432432
202,besikduzu,41.052,39.2284,25.94,59,0,1.52,TR,1690432432
203,newman,37.3138,-121.0208,29.13,10,0,2.74,US,1690432263
204,cartagena del chaira,1.3349,-74.8429,24.9,80,100,0.55,CO,1690432432
205,qamdo,31.1667,97.2333,12.81,44,98,2.26,CN,1690432432
206,afaahiti,-17.75,-149.2833,23.93,83,61,2.93,PF,1690432432
207,jinchang,38.4953,102.1739,29.81,29,90,5.44,CN,1690432433
208,nar'yan-mar,67.6713,53.087,20.78,58,89,2.45,RU,1690432433
209,dunedin,-45.8742,170.5036,7.67,60,67,5.36,NZ,1690432282
210,cabo san lucas,22.8909,-109.9124,30.9,77,51,1.79,MX,1690432424
211,marka,1.7159,44.7717,25.59,76,78,8.29,SO,1690432433
212,al jawf,29.5,38.75,30.49,17,60,2.92,SA,1690432433
213,nouadhibou,20.931,-17.0347,21.99,78,87,9.26,MR,1690432434
214,sitka,57.0531,-135.33,15.94,82,100,0.0,US,1690432434
215,fonte boa,-2.4959,-66.2662,26.3,72,76,0.66,BR,1690432434
216,kupang,-10.1667,123.5833,29.32,54,40,3.09,ID,1690432183
217,pemba,-12.974,40.5178,20.39,83,20,4.63,MZ,1690432434
218,axim,4.8699,-2.2405,24.36,90,96,2.3,GH,1690432434
219,klyuchi,52.2667,79.1667,22.7,48,100,5.61,RU,1690432435
